Configuration,HV_Mean,HV_Std,Max_Utility,Min_Energy,ArchiveSize
1. Baseline (基准),122.583446276138,1.0981966817611,944.5,7870.16318866335,300
2. G1 Utility +10%,123.21848900567,1.11395944310454,952.8,7183.81005419827,300
3. G1 Utility -10%,122.285412420209,0.895367102931305,949,7782.6483154586,300
4. G2 Latency +10%,101.581529238023,3.278231764699,937,7146.31473837793,300
5. G2 Latency -10%,122.289451685699,0.794111187238548,945.7,8072.88570722099,300
6. G3 Energy +10%,123.293758702095,0.77969317900856,946.4,7881.96058545884,300
7. G3 Energy -10%,122.594543801299,0.911634847548054,948.2,7929.99581272914,300
8. All Stronger,104.631522452688,2.11204516853099,941.9,7238.16130074872,300
9. All Weaker,122.489110549952,0.639418647355705,948.7,8228.25762943279,300
10. Uniform (对照),124.257477197076,0.816099220349096,932.8,7137.59949151582,300
